Hashtag,Keyword,Organisation
,"{'Medical', 'Health', 'Policy', 'Funding', 'Research', 'Grant', 'Government'}","{'UQ_News', 'UniofAdelaide', 'QIMRBerghofer', 'UniversitySA', 'UOW', 'QUT', 'Macquarie_Uni', 'ANUmedia', 'WestmeadInst', 'UNSW', 'BakerResearchAu', 'TheFlorey', 'sahmriAU', 'PeterMacCC', 'Sydney_Uni', 'WEHI_research', 'uwanews', 'Uni_Newcastle', 'MCRI_for_kids', 'latrobe', 'unimelb', 'CentenaryInst', 'MonashUni', 'blackdoginst', 'UTAS_', 'GarvanInstitute', 'Flinders', 'UTSEngage'}"
 '3D',{'Research'},{'QUT'}
 '3Dprinted',{'Research'},{'MonashUni'}
 'ACPNS',{'Grant'},{'QUT'}
 'ACSNSW',{'Funding'},{'UOW'}
 'AI',{'Research'},{'Sydney_Uni'}
 'ASCO18',{'Grant'},{'PeterMacCC'}
 'AUSpol',{'Health'},{'QUT'}
 'AcaWriter',"{'Health', 'Research'}",{'UTSEngage'}
 'Alzheimer',"{'Medical', 'Research'}",{'UniofAdelaide'}
 'Antiangiogenic',{'Research'},{'WEHI_research'}
 'Antimetastatic',{'Research'},{'WEHI_research'}
 'Aphasia',"{'Funding', 'Research'}",{'latrobe'}
 'Apoptotic',{'Research'},{'WEHI_research'}
 'ArtofScience',"{'Health', 'Grant', 'Research'}",{'WEHI_research'}
 'AtoZQldScience',{'Research'},{'QIMRBerghofer'}
 'AugmentedReality',{'Research'},{'MonashUni'}
 'Australia',"{'Government', 'Research'}","{'unimelb', 'EyeResearchAus', 'UNSW'}"
 'BRAF',{'Research'},{'WestmeadInst'}
 'BTSM',{'Grant'},{'PeterMacCC'}
 'Biocompatibility',"{'Funding', 'Research'}",{'Flinders'}
 'Biomarkers',{'Grant'},{'PeterMacCC'}
 'Biomimetics',"{'Funding', 'Research'}",{'Flinders'}
 'BrainMetastases',{'Grant'},{'PeterMacCC'}
 'BrainMetastasis',{'Grant'},{'PeterMacCC'}
 'Brisbane',{'Research'},{'UQ_News'}
 'CBGL',{'Government'},{'Flinders'}
 'CaMolDx',{'Grant'},{'PeterMacCC'}
 'Canberra',{'Research'},{'UNSW'}
 'CancerImaging',{'Grant'},{'PeterMacCC'}
 'CareerArc',{'Health'},{'latrobe'}
 'CaxTx',{'Grant'},{'PeterMacCC'}
 'ChangeIt',{'Research'},{'MonashUni'}
 'CheckpointInhibitors',{'Grant'},{'PeterMacCC'}
 'China',{'Government'},{'UNSW'}
 'Collaboration',"{'Health', 'Research'}",{'sahmriAU'}
 'DVTech18',{'Funding'},{'QUT'}
 'DiseaseMonitoring',{'Grant'},{'PeterMacCC'}
 'DravetSyndrome',{'Research'},"{'TheFlorey', 'UQ_News'}"
 'DreamLab',{'Research'},{'GarvanInstitute'}
 'ECRchat',"{'Medical', 'Grant', 'Research'}",{'sahmriAU'}
 'EOL',"{'Health', 'Research'}",{'QUT'}
 'ESG',{'Research'},{'Macquarie_Uni'}
 'ETP18',{'Grant'},"{'ANUmedia', 'UNSW'}"
 'Endoflifecare',{'Health'},{'UniofAdelaide'}
 'Engineering',"{'Grant', 'Research'}",{'UTSEngage'}
 'Entrepreneurs',"{'Medical', 'Health'}",{'QUT'}
 'Eureka18',{'Research'},{'UQ_News'}
 'FOBITas',{'Research'},{'UTAS_'}
 'Fedsquare',"{'Health', 'Grant', 'Research'}",{'WEHI_research'}
 'Finland',"{'Policy', 'Health', 'Grant', 'Research'}",{'ANUmedia'}
 'FreeSpeechForAll',{'Research'},{'uwanews'}
 'GPCR',{'Research'},{'MonashUni'}
 'Go8',{'Health'},"{'Sydney_Uni', 'UQ_News', 'UniofAdelaide', 'uwanews', 'ANUmedia', 'UNSW', 'unimelb', 'MonashUni'}"
 'Government',{'Government'},"{'Flinders', 'UNSW'}"
 'GreatBarrierReef',{'Health'},{'QUT'}
 'HappyWeekend',{'Government'},{'Flinders'}
 'Health',"{'Health', 'Research'}","{'Flinders', 'sahmriAU'}"
 'HealthTech',{'Health'},{'MCRI_for_kids'}
 'Healthcare',"{'Medical', 'Health'}",{'latrobe'}
 'HealthcareIT',{'Health'},{'MCRI_for_kids'}
 'HigherEd',"{'Grant', 'Research'}",{'UTSEngage'}
 'HunterBiz',{'Research'},{'Uni_Newcastle'}
 'IGA',{'Research'},{'MonashUni'}
 'IHBI',{'Research'},{'QUT'}
 'IHBIAdvances',{'Research'},{'QUT'}
 'IHBIInspires2018',"{'Health', 'Research'}",{'QUT'}
 'IR',{'Government'},{'Flinders'}
 'Illawarra',{'Funding'},{'UOW'}
 'Imaging',{'Grant'},{'PeterMacCC'}
